Metric             Value
-----------------  ----------------------------------
TP                 7188193
FP                 741689
FN                 967094
TN                 58919344
Sensitivity(TPR)   0.881415069103241
Specificity(TNR)   0.9875683188438416
PPV                0.9064691066741943
NPV                0.9838511943817139
Accuracy           0.9748027324676514
Dice               0.8905808329582214
IOU                0.8479366683959961
Average Precision  0.813236031300429
F1 Score           0.8937665497950317
